tweet_id,relevance,grounding,actionability,safety,tone,human_review_needed
2382585,1,1,1,1,1,True
874981,1,1,1,1,1,True
2312965,1,1,1,1,1,True
1698986,1,0,0,1,1,True
470967,1,1,0,1,1,True
353162,1,1,1,1,1,True
2251340,1,0,0,1,1,True
450881,1,1,0,1,1,True
689553,1,1,1,1,1,True
1021340,1,0,0,1,1,True
1861551,1,1,1,1,1,True
1513486,1,0,0,1,1,True
2380904,1,1,0,1,1,True
2790801,1,1,0,1,1,True
2095111,1,0,0,1,1,True
187638,1,1,1,1,1,True
189335,1,1,0,1,1,True
2439885,1,1,0,1,1,True
323081,1,1,1,1,1,True
1403679,1,0,0,1,1,True
2297262,1,1,0,1,1,True
677115,1,1,0,1,1,True
211369,1,1,0,1,1,True
1297574,1,1,0,1,1,True
1616430,1,1,1,1,1,True
91680,1,0,0,1,1,True
2203792,1,0,0,1,1,True
2427700,1,1,0,1,1,True
2294344,1,1,1,1,1,True
1764683,1,0,0,1,1,True
1435271,1,1,1,1,1,True
2704317,1,0,0,1,1,True
2125252,1,1,1,1,1,True
1517196,1,1,1,1,1,True
2677962,1,1,1,1,1,True
129249,1,1,0,1,1,True
2608713,1,1,0,1,1,True
2368045,1,0,0,1,1,True
2198191,1,1,1,1,1,True
2523560,1,1,1,1,1,True
2131397,1,1,1,1,1,True
9377,1,1,1,1,1,True
2078280,1,1,0,1,1,True
581520,1,0,0,1,1,True
1339988,1,1,0,1,1,True
867554,1,1,1,1,1,True
2216066,1,1,0,1,1,True
431433,1,1,0,1,1,True
1295664,1,1,1,1,1,True
699074,1,0,0,1,1,True
1199008,1,1,1,1,1,True
1152029,1,0,0,1,1,True
2851466,1,1,1,1,1,True
737374,1,1,0,1,1,True
711777,1,1,1,1,1,True
681878,1,1,0,1,1,True
1577528,1,0,0,1,1,True
1087023,1,1,0,1,1,True
1526256,1,0,0,1,1,True
2118668,1,1,1,1,1,True
79452,1,1,0,1,1,True
272515,1,0,0,1,1,True
677092,1,1,0,1,1,True
2016110,1,0,0,1,1,True
917303,1,1,1,1,1,True
2783463,1,1,0,1,1,True
1353056,1,1,0,1,1,True
2653156,1,1,0,1,1,True
1287119,1,0,0,1,1,True
2774599,1,1,1,1,1,True
1209343,1,1,1,1,1,True
2689671,1,1,1,1,1,True
2066485,1,1,0,1,1,True
2536595,1,1,0,1,1,True
9371,1,1,1,1,1,True
2596601,1,0,0,1,1,True
1157917,1,1,0,1,1,True
2284408,1,1,0,1,1,True
1765622,1,0,0,1,1,True
2705127,1,0,0,1,1,True
1125542,1,1,0,1,1,True
1847317,1,0,0,1,1,True
2672071,1,1,0,1,1,True
1027100,1,1,0,1,1,True
2473666,1,1,1,1,1,True
2517257,1,1,1,1,1,True
2614456,1,1,0,1,1,True
2706972,1,1,1,1,1,True
160519,1,1,1,1,1,True
1397487,1,1,1,1,1,True
2848317,1,0,0,1,1,True
620325,1,1,1,1,1,True
290153,1,1,0,1,1,True
187398,1,1,0,1,1,True
1343812,1,1,0,1,1,True
2618541,1,1,1,1,1,True
230260,1,1,1,1,1,True
2784992,1,1,0,1,1,True
2545867,1,0,0,1,1,True
2154953,1,0,0,1,1,True
2859044,1,1,1,1,1,True
2306176,1,1,1,1,1,True
649088,1,1,0,1,1,True
166624,1,1,0,1,1,True
2035222,1,1,0,1,1,True
1962698,1,1,1,1,1,True
1450227,1,1,0,1,1,True
2746334,1,1,1,1,1,True
2422832,1,0,0,1,1,True
1627433,1,1,0,1,1,True
160555,1,1,1,1,1,True
494212,1,1,0,1,1,True
2964682,1,1,1,1,1,True
1855905,1,1,1,1,1,True
890661,1,1,0,1,1,True
965741,1,1,0,1,1,True
172486,1,1,1,1,1,True
1150047,1,1,0,1,1,True
67719,1,1,1,1,1,True
1543714,1,1,0,1,1,True
648645,1,0,0,1,1,True
1009375,1,1,1,1,1,True
1870132,1,1,0,1,1,True
2924049,1,1,0,1,1,True
1444688,1,1,0,1,1,True
1263458,1,1,0,1,1,True
2507490,1,1,1,1,1,True
1964312,1,1,0,1,1,True
1930974,1,1,1,1,1,True
2276896,1,1,0,1,1,True
2251423,1,1,0,1,1,True
1730849,1,0,0,1,1,True
2887775,1,0,0,1,1,True
1063359,1,1,1,1,1,True
466055,1,1,0,1,1,True
1128836,1,1,0,1,1,True
2239643,1,0,0,1,1,True
1243940,1,1,1,1,1,True
2891289,1,1,0,1,1,True
2066023,1,1,0,1,1,True
2286399,1,1,0,1,1,True
141182,1,1,1,1,1,True
1289174,1,1,1,1,1,True
2293844,1,1,1,1,1,True
181682,1,0,0,1,1,True
2913910,1,1,1,1,1,True
211087,1,1,1,1,1,True
272242,1,1,0,1,1,True
1154180,1,1,1,1,1,True
2259622,1,1,0,1,1,True
1211742,1,1,0,1,1,True
974972,1,1,0,1,1,True
1315452,1,1,0,1,1,True
2298904,1,1,0,1,1,True
2190750,1,1,0,1,1,True
1099427,1,1,0,1,1,True
1386923,1,0,0,1,1,True
684940,1,1,0,1,1,True
187551,1,0,0,1,1,True
844351,1,1,0,1,1,True
1826396,1,1,1,1,1,True
95805,1,1,0,1,1,True
1523739,1,1,1,1,1,True
1230173,1,1,1,1,1,True
1636799,1,1,0,1,1,True
2705886,1,0,0,1,1,True
1760771,1,1,1,1,1,True
896071,1,1,1,1,1,True
911617,1,1,0,1,1,True
89484,1,1,0,1,1,True
570527,1,1,0,1,1,True
416205,1,1,1,1,1,True
67695,1,1,0,1,1,True
1855587,1,0,0,1,1,True
2239727,1,1,1,1,1,True
2728385,1,1,1,1,1,True
609556,1,1,0,1,1,True
508861,1,1,1,1,1,True
1190764,1,1,0,1,1,True
968296,1,1,1,1,1,True
338300,1,0,0,1,1,True
237567,1,1,0,1,1,True
189319,1,1,1,1,1,True
1346917,1,1,0,1,1,True
79413,1,1,0,1,1,True
2081623,1,1,1,1,1,True
1218594,1,1,0,1,1,True
1609242,1,1,1,1,1,True
1182773,1,1,0,1,1,True
2749507,1,0,0,1,1,True
190086,1,1,0,1,1,True
1089993,1,1,0,1,1,True
1176569,1,1,0,1,1,True
2877415,1,0,0,1,1,True
1851961,1,1,0,1,1,True
189823,1,1,0,1,1,True
1592990,1,1,0,1,1,True
343534,1,0,0,1,1,True
2245969,1,1,0,1,1,True
611411,1,1,1,1,1,True
