tweet_id,message,similarity,historical_customer,historical_support
2382585,"Done and done! :). Thanks for hitting me back, you guys are on the ball with your social media game!",0.48349189840955514,"@SpotifyCares How can i get ahold of you guys besides social media,  this is pathetic. I wanna speak with someone.","@302074 Hey Robert, this doesn't sound good! Can you give us more info on what's happening? We'll see what we can suggest /DB"
874981,"Well they keep themselves updated, but yes forced a check, its up to date.",0.44752782920286527,@SpotifyCares Do y’all have a date??,"@708208 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned. For now, check out the singles: https://t.co/3h0TnPWP0c /NQ"
2312965,Please answer my DM!!,1.0,@SpotifyCares Please answer my DM!,"@466613 Hey, help's here! Can you DM us your account's email address? We'll see what we can suggest /KM https://t.co/ldFdZRiNAt"
1698986,Is this a problem with refusing to upgrade their firmware to support a new API or something like that?,0.26148262616975737,@SpotifyCares I'm about to show my support to something else,"@160414 Hey! This isn't possible right now, but you can show your support for the idea on our Community: https://t.co/2tfOAqlyqe /KB"
470967,"Thanks, had already tried that to no avail.",0.44772098125017123,@SpotifyCares Have just tried that to no avail. It’s only happened since the last update on 17 November.,"@141624 Thanks! Does logging out, restarting your device, then logging back in help at all? /QI"
353162,Problem fixed already. Thank you 😊,0.7714788678074624,@SpotifyCares The problem is still not fixed.,"@405924 Could you try logging out, restarting your device, and logging back in? Does that make a difference? Keep us in the loop /JM"
2251340,"No messages, just the bad crackling and popping, tried downloading and streaming, also cleared cache",0.3098197506902545,"@SpotifyCares No luck unfortunately, even tried downloading the playlist",@336516 Got it! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX
450881,It helped after a while. Working now 😊,0.8212263531726346,"@SpotifyCares nothing helped, so here we go again... https://t.co/NJR9Vnpm76",@558770 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this 🙂 /CG
689553,"Set to UK I think, and yeah does the same on my mac too. Doesn’t matter cos I can find a different version of the song, just thought you should know 😀",0.3751669142954912,@SpotifyCares Should be set to UK,@416015 Thanks. Could you also let us know the country your account is currently set to? We'll check things out /AY
1021340,"It not letting me use my unlimited skips, download my music etc.",0.34053824146582246,"@SpotifyCares but, it already has unlimited votes","@142703 Thanks for the info! To help make it happen, we’d recommend showing your support for the idea here: https://t.co/CdI1SXS9B4. Also, our friends in Artist Support are the right folks to help with this. You can get in touch with them here: https://t.co/p1wbtdWmz2 /PB"
1861551,"i restarted the app, i logged out, but i cant re start my computer im at work, im just listening to music in youtube lol",0.37859382528085994,"@SpotifyCares Not yet, im on it","@442723 Got it! Just to check, have you tried logging out, restarting your device by holding Home + Lock for 10 seconds, then logging back in? /PB"
1513486,Is this something that will be fixed shortly? I like seeing when exactly in the year things were released,0.3006150847966432,@SpotifyCares -But shortly after disappeared again.,"@324995 Got it, that's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TB"
2380904,Strange. It’s working now.,0.6220313293239702,@SpotifyCares They're back this morning! Very strange.,@190563 Hi again! That's strange. Can you try logging out &gt; restarting your devices &gt; logging back in to refresh your account? Keep us posted /MU
2790801,Thanks for reply but finally the website is working and i sorted everything out myself,0.5105937540593412,"@SpotifyCares I remember the reply from your side finally being: we know this is an issue, working on it or something. But it’s a bug so should be fixed..","@126752 We understand, but could you let us know when exactly you reinstalled the app? Also, what Spotify version are you currently running? /LM"
2095111,it's not doing it now. i will try if it starts up again. it was the bottom bar and it was flashing sort of irregularly.,0.3442765438249792,@SpotifyCares No it’s still doing the same 😭😭😭,@376412 Thanks for sending that over. Could you try playing the songs on a different device to see if they work properly? Keep us posted /TB
187638,"not getting any error messages. just when pushing play next to a song, it plays a different one from my saved songs list.",0.4142300020135537,"@SpotifyCares I'm not really getting any error messages, it just won't let me play anything https://t.co/gG6uDgQTRx",@817967 Can you send us any error messages you're getting? We'll take a look /NG
